LCR,LCR DESC,INC DATETIME,INC NO,LOCATION,DISTRICT
40A,Motor Vehicle Theft,07/18/2015 12:49:00 AM,P15038868,"(35.74161766670067, -78.61578629218008)",SOUTHEAST
40A,Motor Vehicle Theft,07/17/2015 10:01:00 PM,P15038842,"(35.757123610754746, -78.55969988117438)",SOUTHEAST
40A,Motor Vehicle Theft,07/17/2015 05:47:00 PM,P15038794,"(35.82920364361256, -78.58531571444522)",NORTH
40A,Motor Vehicle Theft,07/17/2015 08:55:00 AM,P15038647,"(35.78522495305536, -78.72887163194278)",SOUTWEST
40A,Motor Vehicle Theft,07/17/2015 08:01:00 AM,P15038632,"(35.867207392688215, -78.59338692230044)",NORTH
40A,Motor Vehicle Theft,07/16/2015 12:04:00 PM,P15038438,"(35.82953488001076, -78.56634871602299)",NORTHEAST
40A,Motor Vehicle Theft,07/16/2015 10:21:00 AM,P15038415,"(35.802543954232796, -78.60876140553859)",SOUTHEAST
40A,Motor Vehicle Theft,07/16/2015 08:14:00 AM,P15038397,"(35.83160770994551, -78.57789430626822)",NORTHEAST
40A,Motor Vehicle Theft,07/15/2015 08:51:00 AM,P15038187,"(35.74295967185272, -78.65028224270935)",SOUTWEST
40A,Motor Vehicle Theft,07/15/2015 05:58:00 AM,P15038163,"(35.85490569352434, -78.60565795811424)",NORTH
40A,Motor Vehicle Theft,07/15/2015 04:30:00 AM,P15038137,"(35.8322261712742, -78.58915386132618)",NORTH
40A,Motor Vehicle Theft,07/14/2015 10:42:00 PM,P15038126,"(35.78861084841137, -78.58296590399983)",SOUTHEAST
40A,Motor Vehicle Theft,07/13/2015 08:06:00 AM,P15037762,"(35.78704560261465, -78.5997187650716)",SOUTHEAST
40A,Motor Vehicle Theft,07/13/2015 05:21:00 AM,P15037751,"(35.78840872973561, -78.58788823991249)",SOUTHEAST
40A,Motor Vehicle Theft,07/12/2015 02:29:00 PM,P15037653,"(35.82529828813737, -78.5861633817965)",NORTHEAST
40A,Motor Vehicle Theft,07/12/2015 03:25:00 AM,P15037596,"(35.790461661915124, -78.62979381380178)",DOWNTOWN
40A,Motor Vehicle Theft,07/11/2015 07:22:00 PM,P15037528,"(35.90029437766411, -78.65960666376223)",NORTH
40A,Motor Vehicle Theft,07/11/2015 10:27:00 AM,P15037446,"(35.899680780236224, -78.65870643058807)",NORTH
40A,Motor Vehicle Theft,07/11/2015 06:07:00 AM,P15037424,"(35.90110674410052, -78.65883479366447)",NORTH
40A,Motor Vehicle Theft,07/09/2015 08:51:00 AM,P15037046,"(35.83150309356864, -78.58459461370776)",NORTH
40A,Motor Vehicle Theft,07/09/2015 08:36:00 AM,P15037047,"(35.784382220231464, -78.72461523035676)",SOUTWEST
40A,Motor Vehicle Theft,07/09/2015 08:18:00 AM,P15037037,"(35.91647761635767, -78.77423102362394)",NORTHWEST
40A,Motor Vehicle Theft,07/09/2015 05:56:00 AM,P15037020,"(35.843208989073744, -78.54588958048417)",NORTHEAST
40A,Motor Vehicle Theft,07/08/2015 04:49:00 PM,P15036930,"(35.8844224964777, -78.73607401523107)",NORTHWEST
40A,Motor Vehicle Theft,07/08/2015 07:09:00 AM,P15036838,"(35.83796096718358, -78.57762768217798)",NORTHEAST
40A,Motor Vehicle Theft,07/08/2015 02:16:00 AM,P15036813,"(35.850511750814356, -78.67795785719954)",NORTH
40A,Motor Vehicle Theft,07/07/2015 11:30:00 AM,P15036646,"(35.89202555044436, -78.54998974725913)",NORTHEAST
40A,Motor Vehicle Theft,07/07/2015 09:22:00 AM,P15036619,"(35.78602380074228, -78.7419988107031)",SOUTWEST
40A,Motor Vehicle Theft,07/06/2015 02:52:00 PM,P15036472,"(35.785944886352155, -78.64181081040346)",DOWNTOWN
40A,Motor Vehicle Theft,07/06/2015 02:27:00 PM,P15036466,"(35.825357584528774, -78.5872973180255)",NORTH
40A,Motor Vehicle Theft,07/05/2015 10:40:00 PM,P15036366,"(35.857471792616025, -78.55350042093738)",NORTHEAST
40A,Motor Vehicle Theft,07/05/2015 03:11:00 PM,P15036306,"(35.78979252649051, -78.54703540686859)",SOUTHEAST
40A,Motor Vehicle Theft,07/05/2015 04:55:00 AM,P15036255,"(35.77812773921943, -78.62722378207403)",SOUTHEAST
40A,Motor Vehicle Theft,07/04/2015 01:55:00 PM,P15036135,"(35.76915164576859, -78.73103718382924)",SOUTWEST
