LCR,LCR DESC,INC DATETIME,INC NO,LOCATION,DISTRICT
40A,Motor Vehicle Theft,05/22/2015 04:16:00 PM,P15027505,"(35.77517381544416, -78.64198982915093)",DOWNTOWN
40A,Motor Vehicle Theft,05/21/2015 02:44:00 PM,P15027301,"(35.78991520340396, -78.68796778202089)",SOUTWEST
11,Homicide/Murder-Nonnegligent Manslaughter,05/21/2015 11:31:00 AM,P15027269,"(35.8155762092595, -78.6968851602185)",NORTHWEST
40A,Motor Vehicle Theft,05/19/2015 10:46:00 PM,P15027016,"(35.7522453937717, -78.59057445077968)",SOUTHEAST
40A,Motor Vehicle Theft,05/19/2015 11:12:00 AM,P15026835,"(35.89769719658811, -78.80258092992979)",NORTHWEST
40A,Motor Vehicle Theft,05/19/2015 08:55:00 AM,P15026808,"(35.77566799881177, -78.64132141549342)",DOWNTOWN
40A,Motor Vehicle Theft,05/18/2015 08:24:00 PM,P15026750,"(35.74301461922488, -78.61388321085458)",SOUTHEAST
40A,Motor Vehicle Theft,05/18/2015 02:32:00 PM,P15026647,"(35.793890759957044, -78.58171246176695)",SOUTHEAST
40A,Motor Vehicle Theft,05/18/2015 11:07:00 AM,P15026611,"(35.79909899109729, -78.63752902404067)",DOWNTOWN
40A,Motor Vehicle Theft,05/18/2015 09:32:00 AM,P15026651,"(35.94164956111819, -78.54842749124684)",NORTHEAST
40A,Motor Vehicle Theft,05/17/2015 11:48:00 AM,P15026455,"(35.77310860910878, -78.72423285178913)",SOUTWEST
40A,Motor Vehicle Theft,05/17/2015 11:12:00 AM,P15026420,"(35.78424086032819, -78.69396717330531)",SOUTWEST
40A,Motor Vehicle Theft,05/16/2015 10:17:00 PM,P15026336,"(35.846424542338724, -78.59540407124116)",NORTH
40A,Motor Vehicle Theft,05/16/2015 12:10:00 PM,P15026239,"(35.83950831000004, -78.59673281499994)",NORTH
40A,Motor Vehicle Theft,05/16/2015 06:43:00 AM,P15026211,"(35.83557681524118, -78.59561262420688)",NORTH
40A,Motor Vehicle Theft,05/15/2015 03:05:00 PM,P15026053,"(35.91704786351025, -78.79977872577592)",NORTHWEST
40A,Motor Vehicle Theft,05/14/2015 10:12:00 PM,P15025926,"(35.836584405385366, -78.64090994790882)",NORTH
40A,Motor Vehicle Theft,05/14/2015 09:54:00 AM,P15025766,"(35.73254897679949, -78.64934182123544)",DOWNTOWN
40A,Motor Vehicle Theft,05/13/2015 10:49:00 PM,P15025691,"(35.77553574104441, -78.6374122465743)",DOWNTOWN
40A,Motor Vehicle Theft,05/13/2015 07:40:00 PM,P15025662,"(35.74507560290159, -78.68445946814863)",SOUTWEST
40A,Motor Vehicle Theft,05/13/2015 06:23:00 PM,P15025636,"(35.78045217860175, -78.64500183011418)",DOWNTOWN
40A,Motor Vehicle Theft,05/12/2015 10:46:00 PM,P15025475,"(35.83749492433459, -78.58173217785358)",NORTHEAST
40A,Motor Vehicle Theft,05/12/2015 05:00:00 PM,P15025418,"(35.7761122760913, -78.6848397398653)",SOUTWEST
40A,Motor Vehicle Theft,05/11/2015 09:57:00 PM,P15025243,"(35.774406865447716, -78.64533515769114)",DOWNTOWN
40A,Motor Vehicle Theft,05/11/2015 07:43:00 PM,P15025231,"(35.96425671500003, -78.55397217399997)",NORTHEAST
40A,Motor Vehicle Theft,05/11/2015 12:07:00 PM,P15025131,"(35.85405250600007, -78.61255666399995)",NORTH
40A,Motor Vehicle Theft,05/10/2015 04:57:00 PM,P15025034,"(35.86652697111354, -78.61541869974752)",NORTH
40A,Motor Vehicle Theft,05/10/2015 11:01:00 AM,P15024985,"(35.839269970306376, -78.66424551809102)",NORTH
40A,Motor Vehicle Theft,05/09/2015 09:57:00 AM,P15024762,"(35.79264052470997, -78.61220994618353)",SOUTHEAST
40A,Motor Vehicle Theft,05/08/2015 10:36:00 PM,P15024697,"(35.84982979538636, -78.58121573321826)",NORTH
40A,Motor Vehicle Theft,05/08/2015 08:09:00 AM,P15024547,"(35.82301255044453, -78.70194943604633)",NORTHWEST
40A,Motor Vehicle Theft,05/08/2015 07:27:00 AM,P15024544,"(35.89461823170806, -78.73663220685981)",NORTHWEST
40A,Motor Vehicle Theft,05/07/2015 11:15:00 AM,P15024334,"(35.76912017600006, -78.64732700599995)",DOWNTOWN
40A,Motor Vehicle Theft,05/07/2015 10:26:00 AM,P15024322,"(35.873344830282285, -78.64177424360481)",NORTH
40A,Motor Vehicle Theft,05/07/2015 09:06:00 AM,P15024309,"(35.84703430313216, -78.60997655976514)",NORTH
40A,Motor Vehicle Theft,05/05/2015 05:16:00 PM,P15024011,"(35.884726305971846, -78.74159188048493)",NORTHWEST
40A,Motor Vehicle Theft,05/04/2015 08:32:00 AM,P15023689,"(35.74162668610049, -78.63565565568322)",DOWNTOWN
40A,Motor Vehicle Theft,05/03/2015 11:39:00 PM,P15023661,"(35.74156645293638, -78.6353978435313)",DOWNTOWN
40A,Motor Vehicle Theft,05/03/2015 10:31:00 PM,P15023639,"(35.7515642889079, -78.62748697041535)",SOUTHEAST
40A,Motor Vehicle Theft,05/03/2015 09:47:00 AM,P15023549,"(35.87544231598769, -78.72030742621507)",NORTHWEST
40A,Motor Vehicle Theft,05/03/2015 06:52:00 AM,P15023533,"(35.76409645008634, -78.64227121680406)",DOWNTOWN
40A,Motor Vehicle Theft,04/30/2015 07:54:00 PM,P15023024,"(35.86542858433301, -78.59325137464882)",NORTH
40A,Motor Vehicle Theft,04/30/2015 11:53:00 AM,P15022952,"(35.78897962553429, -78.66015340878671)",SOUTWEST
40A,Motor Vehicle Theft,04/29/2015 01:45:00 PM,P15022751,"(35.829694497960716, -78.63259142525764)",NORTH
40A,Motor Vehicle Theft,04/28/2015 08:35:00 AM,P15022520,"(35.88392011900004, -78.64578506999999)",NORTH
40A,Motor Vehicle Theft,04/28/2015 07:43:00 AM,P15022502,"(35.79641074883848, -78.63127771342782)",DOWNTOWN
40A,Motor Vehicle Theft,04/27/2015 01:33:00 PM,P15022374,"(35.77105582400003, -78.72314510899997)",SOUTWEST
40A,Motor Vehicle Theft,04/27/2015 12:00:00 PM,P15022341,"(35.78158109895229, -78.6920982952369)",SOUTWEST
40A,Motor Vehicle Theft,04/27/2015 10:25:00 AM,P15022322,"(35.7418925313357, -78.6350445786904)",DOWNTOWN
40A,Motor Vehicle Theft,04/27/2015 08:40:00 AM,P15022302,"(35.840187617279796, -78.61761200716312)",NORTH
40A,Motor Vehicle Theft,04/27/2015 06:50:00 AM,P15022284,"(35.836877091000076, -78.59132687199997)",NORTH
40A,Motor Vehicle Theft,04/26/2015 10:30:00 AM,P15022179,"(35.79529967678493, -78.61181752218334)",SOUTHEAST
40A,Motor Vehicle Theft,04/25/2015 06:26:00 PM,P15022051,"(35.8652082134631, -78.70392914969419)",NORTHWEST
40A,Motor Vehicle Theft,04/25/2015 05:39:00 PM,P15022035,"(35.77516091723092, -78.6325163771469)",DOWNTOWN
40A,Motor Vehicle Theft,04/25/2015 03:36:00 PM,P15022015,"(35.84926054088754, -78.58059764298632)",NORTH
40A,Motor Vehicle Theft,04/25/2015 10:33:00 AM,P15021957,"(35.74116667999976, -78.57748311071516)",SOUTHEAST
40A,Motor Vehicle Theft,04/24/2015 04:01:00 PM,P15021829,"(35.81428017246387, -78.62655956152443)",NORTH
40A,Motor Vehicle Theft,04/24/2015 12:21:00 AM,P15021695,"(35.85698302449387, -78.60293044046524)",NORTH
40A,Motor Vehicle Theft,04/23/2015 05:34:00 PM,P15021625,"(35.781091579974685, -78.6355597817836)",DOWNTOWN
40A,Motor Vehicle Theft,04/23/2015 08:40:00 AM,P15021511,"(35.913484109880734, -78.74043721818434)",NORTHWEST
40A,Motor Vehicle Theft,04/22/2015 12:49:00 PM,P15021358,"(35.79796933107177, -78.57553358601666)",SOUTHEAST
40A,Motor Vehicle Theft,04/22/2015 08:33:00 AM,P15021310,"(35.76514905787105, -78.55888381884581)",SOUTHEAST
40A,Motor Vehicle Theft,04/22/2015 02:59:00 AM,P15021287,"(35.762654813265556, -78.69350600133485)",SOUTWEST
40A,Motor Vehicle Theft,04/21/2015 12:13:00 PM,P15021131,"(35.79159821322612, -78.68909331314138)",SOUTWEST
40A,Motor Vehicle Theft,04/21/2015 08:00:00 AM,P15021094,"(35.77470040442991, -78.68891227565672)",SOUTWEST
40A,Motor Vehicle Theft,04/20/2015 07:53:00 PM,P15021017,"(35.877772964951376, -78.70422195995432)",
40A,Motor Vehicle Theft,04/20/2015 08:15:00 AM,P15020844,"(35.86501461612849, -78.59298560656731)",NORTH
40A,Motor Vehicle Theft,04/19/2015 01:47:00 PM,P15020738,"(35.803360650335684, -78.68592073305932)",SOUTWEST
11,Homicide/Murder-Nonnegligent Manslaughter,04/18/2015 09:39:00 PM,P15020647,"(35.86376905659258, -78.57843830739394)",NORTHEAST
40A,Motor Vehicle Theft,04/18/2015 06:14:00 AM,P15020522,"(35.81786443154495, -78.61593873304082)",NORTH
40A,Motor Vehicle Theft,04/17/2015 03:56:00 PM,P15020412,"(35.79015851398935, -78.71420401887899)",SOUTWEST
40A,Motor Vehicle Theft,04/17/2015 08:06:00 AM,P15020310,"(35.84909607337036, -78.5727255519709)",NORTHEAST
40A,Motor Vehicle Theft,04/17/2015 07:27:00 AM,P15020303,"(35.850323411940415, -78.57628708081698)",NORTHEAST
40A,Motor Vehicle Theft,04/17/2015 07:14:00 AM,P15020298,"(35.761096592852375, -78.58309546628564)",SOUTHEAST
40A,Motor Vehicle Theft,04/17/2015 06:29:00 AM,P15020292,"(35.77943684100006, -78.61261349799997)",SOUTHEAST
40A,Motor Vehicle Theft,04/16/2015 07:57:00 AM,P15020111,"(35.81134345225747, -78.62588821042428)",NORTH
40A,Motor Vehicle Theft,04/15/2015 05:38:00 PM,P15020021,"(35.75058823873389, -78.69241816667963)",SOUTWEST
40A,Motor Vehicle Theft,04/15/2015 12:18:00 PM,P15019917,"(35.803501109941244, -78.6208870098533)",NORTH
40A,Motor Vehicle Theft,04/15/2015 12:14:00 PM,P15019905,"(35.75404442400857, -78.61058962816047)",SOUTHEAST
40A,Motor Vehicle Theft,04/14/2015 08:51:00 AM,P15019658,"(35.74528494482643, -78.6644459055723)",SOUTWEST
40A,Motor Vehicle Theft,04/13/2015 09:28:00 PM,P15019597,"(35.767778095321745, -78.64883081943543)",DOWNTOWN
40A,Motor Vehicle Theft,04/13/2015 02:41:00 PM,P15019522,"(35.8309284174095, -78.57060027054806)",NORTHEAST
40A,Motor Vehicle Theft,04/13/2015 02:35:00 PM,P15019512,"(35.85786845240051, -78.59702585774855)",NORTH
40A,Motor Vehicle Theft,04/10/2015 03:34:00 PM,P15018923,,NORTH
40A,Motor Vehicle Theft,04/10/2015 12:01:00 AM,P15018799,"(35.84327117223492, -78.58557736283737)",NORTH
40A,Motor Vehicle Theft,04/09/2015 03:29:00 PM,P15018693,"(35.767937989475996, -78.64878986958509)",DOWNTOWN
40A,Motor Vehicle Theft,04/09/2015 03:21:00 PM,P15018694,"(35.80493751861498, -78.7324867443404)",SOUTWEST
40A,Motor Vehicle Theft,04/09/2015 11:36:00 AM,P15018644,"(35.871283401977585, -78.6414838040848)",NORTH
40A,Motor Vehicle Theft,04/09/2015 08:48:00 AM,P15018620,"(35.858176867000054, -78.66846637999998)",NORTH
40A,Motor Vehicle Theft,04/09/2015 08:02:00 AM,P15018608,"(35.86168268700004, -78.71605437499994)",NORTHWEST
40A,Motor Vehicle Theft,04/09/2015 06:04:00 AM,P15018598,"(35.76646646176628, -78.63556252287027)",DOWNTOWN
40A,Motor Vehicle Theft,04/08/2015 08:30:00 AM,P15018416,"(35.79099815961617, -78.71525047581457)",SOUTWEST
40A,Motor Vehicle Theft,04/07/2015 11:01:00 PM,P15018370,"(35.88992404725363, -78.64863802130925)",NORTH
40A,Motor Vehicle Theft,04/07/2015 06:20:00 PM,P15018334,"(35.842503171656624, -78.58778425889093)",NORTH
40A,Motor Vehicle Theft,04/07/2015 05:56:00 PM,P15018345,"(35.76772915123421, -78.64884260387939)",DOWNTOWN
40A,Motor Vehicle Theft,04/07/2015 01:54:00 PM,P15018257,"(35.798428868164294, -78.55646707546241)",SOUTHEAST
40A,Motor Vehicle Theft,04/07/2015 07:02:00 AM,P15018175,"(35.77524105911329, -78.6253628148729)",SOUTHEAST
40A,Motor Vehicle Theft,04/06/2015 02:29:00 PM,P15018071,"(35.87539447889725, -78.70071893689047)",NORTHWEST
40A,Motor Vehicle Theft,04/06/2015 09:42:00 AM,P15018017,"(35.81690480523025, -78.56990517317928)",NORTHEAST
40A,Motor Vehicle Theft,04/05/2015 04:06:00 PM,P15017924,"(35.779786140692444, -78.62015357070204)",SOUTHEAST
40A,Motor Vehicle Theft,04/05/2015 10:30:00 AM,P15017890,"(35.815180905731744, -78.62586332151929)",NORTH
40A,Motor Vehicle Theft,04/05/2015 10:18:00 AM,P15017885,"(35.763388984889104, -78.632903384939)",DOWNTOWN
40A,Motor Vehicle Theft,04/04/2015 07:36:00 AM,P15017670,"(35.84620809568145, -78.59528355422951)",NORTH
40A,Motor Vehicle Theft,04/04/2015 07:21:00 AM,P15017668,"(35.74252573800005, -78.61769388799996)",SOUTHEAST
40A,Motor Vehicle Theft,04/03/2015 12:12:00 PM,P15017505,"(35.818484660890505, -78.62465046600168)",NORTH
40A,Motor Vehicle Theft,04/03/2015 09:56:00 AM,P15017471,"(35.856060361788295, -78.60530488254051)",NORTH
40A,Motor Vehicle Theft,04/01/2015 10:36:00 PM,P15017217,"(35.79588865918022, -78.57502895027288)",SOUTHEAST
40A,Motor Vehicle Theft,03/31/2015 12:12:00 PM,P15016873,"(35.7776249602175, -78.64186347710645)",DOWNTOWN
40A,Motor Vehicle Theft,03/31/2015 02:47:00 AM,P15016807,"(35.76454653019783, -78.63729265904028)",DOWNTOWN
40A,Motor Vehicle Theft,03/30/2015 08:05:00 PM,P15016769,"(35.87643420351332, -78.69892245910971)",NORTHWEST
40A,Motor Vehicle Theft,03/30/2015 11:08:00 AM,P15016641,"(35.86141804600004, -78.61698259899998)",NORTH
40A,Motor Vehicle Theft,03/29/2015 04:15:00 PM,P15016535,"(35.8006881585371, -78.57773744743338)",NORTHEAST
40A,Motor Vehicle Theft,03/29/2015 12:29:00 PM,P15016516,"(35.84441615938898, -78.57871128591184)",NORTHEAST
40A,Motor Vehicle Theft,03/29/2015 11:52:00 AM,P15016502,"(35.797393931119935, -78.62408241002859)",SOUTHEAST
40A,Motor Vehicle Theft,03/29/2015 09:37:00 AM,P15016489,"(35.843888547474165, -78.59254786258708)",NORTH
40A,Motor Vehicle Theft,03/28/2015 07:28:00 PM,P15016400,"(35.7781621877908, -78.63588768040488)",DOWNTOWN
40A,Motor Vehicle Theft,03/28/2015 07:14:00 AM,P15016302,"(35.8633070731654, -78.60185809949083)",NORTH
40A,Motor Vehicle Theft,03/28/2015 02:35:00 AM,P15016280,"(35.87044909865911, -78.59628990586205)",NORTH
40A,Motor Vehicle Theft,03/27/2015 03:56:00 PM,P15016180,"(35.858521394837986, -78.63979573343808)",NORTH
40A,Motor Vehicle Theft,03/27/2015 07:45:00 AM,P15016085,"(35.84645695537522, -78.59574504176585)",NORTH
40A,Motor Vehicle Theft,03/26/2015 06:30:00 PM,P15015997,"(35.79913236247469, -78.56449717528947)",NORTHEAST
40A,Motor Vehicle Theft,03/26/2015 12:24:00 PM,P15015927,"(35.864629148075416, -78.57023347428816)",NORTHEAST
40A,Motor Vehicle Theft,03/25/2015 02:02:00 PM,P15015756,"(35.774394351648816, -78.64300428645213)",SOUTHEAST
40A,Motor Vehicle Theft,03/25/2015 01:31:00 PM,P15015760,"(35.79607681699986, -78.55451929412925)",SOUTHEAST
40A,Motor Vehicle Theft,03/25/2015 08:10:00 AM,P15015706,"(35.84588214484278, -78.59074392388945)",NORTH
40A,Motor Vehicle Theft,03/24/2015 05:40:00 PM,P15015620,"(35.77311524211612, -78.5897948620836)",SOUTHEAST
40A,Motor Vehicle Theft,03/24/2015 07:34:00 AM,P15015495,"(35.84792572244686, -78.58797421769933)",NORTH
40A,Motor Vehicle Theft,03/23/2015 04:27:00 PM,P15015399,"(35.728508268295045, -78.58108312301583)",SOUTHEAST
40A,Motor Vehicle Theft,03/23/2015 09:02:00 AM,P15015332,"(35.90986067600005, -78.58539141799997)",NORTHEAST
11,Homicide/Murder-Nonnegligent Manslaughter,03/23/2015 05:17:00 AM,P15015314,"(35.81215854887684, -78.65740527461702)",SOUTWEST
40A,Motor Vehicle Theft,03/22/2015 01:14:00 AM,P15015170,"(35.765642927013616, -78.62753932852003)",SOUTHEAST
40A,Motor Vehicle Theft,03/21/2015 09:13:00 PM,P15015130,"(35.79850746262941, -78.56352720034161)",NORTHEAST
40A,Motor Vehicle Theft,03/21/2015 08:44:00 PM,P15015125,"(35.853716579005194, -78.61560981392152)",NORTH
40A,Motor Vehicle Theft,03/21/2015 11:13:00 AM,P15015047,"(35.87540405810186, -78.5870289581265)",NORTH
40A,Motor Vehicle Theft,03/19/2015 02:41:00 AM,P15014612,"(35.75328002058196, -78.61259623682992)",SOUTHEAST
40A,Motor Vehicle Theft,03/18/2015 05:34:00 PM,P15014531,"(35.773273010000025, -78.69028434299997)",SOUTWEST
40A,Motor Vehicle Theft,03/18/2015 01:11:00 PM,P15014464,"(35.776728054749164, -78.63621050350982)",DOWNTOWN
40A,Motor Vehicle Theft,03/18/2015 10:35:00 AM,P15014434,"(35.76673811182579, -78.70295056618211)",SOUTWEST
40A,Motor Vehicle Theft,03/18/2015 07:01:00 AM,P15014399,"(35.768428866093686, -78.62352310667583)",SOUTHEAST
40A,Motor Vehicle Theft,03/17/2015 05:44:00 PM,P15014321,"(35.90520919332637, -78.80601159148)",NORTHWEST
40A,Motor Vehicle Theft,03/17/2015 10:51:00 AM,P15014224,"(35.792277394492224, -78.626534327119)",DOWNTOWN
40A,Motor Vehicle Theft,03/16/2015 08:42:00 AM,P15013961,"(35.78479626924261, -78.64480172463685)",DOWNTOWN
40A,Motor Vehicle Theft,03/14/2015 09:03:00 AM,P15013618,"(35.85725745799047, -78.70850545117719)",NORTHWEST
40A,Motor Vehicle Theft,03/14/2015 03:11:00 AM,P15013599,"(35.801669810342446, -78.62997087690731)",DOWNTOWN
40A,Motor Vehicle Theft,03/13/2015 10:23:00 PM,P15013567,"(35.76994022396003, -78.61735115986745)",SOUTHEAST
40A,Motor Vehicle Theft,03/13/2015 09:36:00 PM,P15013563,"(35.87588721301888, -78.5870886559434)",NORTH
40A,Motor Vehicle Theft,03/13/2015 09:34:00 PM,P15013555,"(35.783576176723635, -78.69380998803706)",SOUTWEST
40A,Motor Vehicle Theft,03/13/2015 04:30:00 PM,P15013497,"(35.75368750580894, -78.5643988201013)",SOUTHEAST
40A,Motor Vehicle Theft,03/13/2015 09:15:00 AM,P15013414,"(35.78989400003231, -78.68764458959919)",SOUTWEST
40A,Motor Vehicle Theft,03/12/2015 12:32:00 PM,P15013256,"(35.770179830653696, -78.59452029288491)",SOUTHEAST
40A,Motor Vehicle Theft,03/11/2015 10:25:00 PM,P15013151,"(35.81872496071229, -78.59604708717927)",NORTH
40A,Motor Vehicle Theft,03/11/2015 09:37:00 PM,P15013141,"(35.832123455000044, -78.71158456099994)",NORTHWEST
40A,Motor Vehicle Theft,03/11/2015 03:56:00 PM,P15013070,"(35.84997986673626, -78.57918371030526)",NORTHEAST
40A,Motor Vehicle Theft,03/11/2015 08:02:00 AM,P15012978,"(35.791848377808265, -78.60692966194713)",SOUTHEAST
40A,Motor Vehicle Theft,03/10/2015 07:57:00 AM,P15012762,"(35.76448690092049, -78.72799377111531)",SOUTWEST
40A,Motor Vehicle Theft,03/09/2015 08:38:00 AM,P15012558,"(35.84995729055569, -78.5794813401092)",NORTH
40A,Motor Vehicle Theft,03/09/2015 07:46:00 AM,P15012567,"(35.89892056530229, -78.55845681662215)",NORTHEAST
40A,Motor Vehicle Theft,03/09/2015 07:20:00 AM,P15012538,"(35.84554620014153, -78.59670698758651)",NORTH
40A,Motor Vehicle Theft,03/08/2015 10:59:00 AM,P15012416,"(35.784580703888146, -78.6262642828372)",SOUTHEAST
40A,Motor Vehicle Theft,03/07/2015 06:48:00 AM,P15012239,"(35.794644644035124, -78.6484284268534)",DOWNTOWN
40A,Motor Vehicle Theft,03/06/2015 10:01:00 AM,P15012045,"(35.74205207694587, -78.60068116207486)",SOUTHEAST
40A,Motor Vehicle Theft,03/06/2015 03:20:00 AM,P15012013,"(35.8770160051412, -78.69244531347292)",NORTHWEST
40A,Motor Vehicle Theft,03/05/2015 11:11:00 AM,P15011894,"(35.81789237500004, -78.59278295999997)",NORTHEAST
40A,Motor Vehicle Theft,03/03/2015 07:20:00 AM,P15011431,"(35.776191550871495, -78.65075547616415)",DOWNTOWN
40A,Motor Vehicle Theft,03/02/2015 01:28:00 PM,P15011311,"(35.85681845095389, -78.60292226267435)",NORTH
40A,Motor Vehicle Theft,03/02/2015 08:05:00 AM,P15011246,"(35.7826003338967, -78.65925830029965)",SOUTWEST
40A,Motor Vehicle Theft,02/28/2015 06:51:00 PM,P15011025,"(35.76052346763159, -78.61363008023477)",SOUTHEAST
40A,Motor Vehicle Theft,02/28/2015 01:57:00 AM,P15010918,"(35.74531466122817, -78.6145293910259)",SOUTHEAST
40A,Motor Vehicle Theft,02/27/2015 10:20:00 AM,P15010767,"(35.725184393267085, -78.53517530856787)",SOUTHEAST
40A,Motor Vehicle Theft,02/27/2015 02:38:00 AM,P15010695,"(35.75377769187234, -78.61298017734764)",SOUTHEAST
40A,Motor Vehicle Theft,02/26/2015 11:21:00 AM,P15010592,"(35.77405811924628, -78.58821506107755)",SOUTHEAST
40A,Motor Vehicle Theft,02/25/2015 10:20:00 AM,P15010439,"(35.86743662551119, -78.59191887271554)",NORTH
40A,Motor Vehicle Theft,02/25/2015 10:07:00 AM,P15010458,"(35.83276300795457, -78.66734879020764)",SOUTWEST
40A,Motor Vehicle Theft,02/24/2015 10:26:00 PM,P15010369,"(35.756105015631185, -78.54548546548324)",SOUTHEAST
40A,Motor Vehicle Theft,02/24/2015 08:12:00 AM,P15010056,"(35.75819347302145, -78.58658373849455)",SOUTHEAST
40A,Motor Vehicle Theft,02/23/2015 07:13:00 PM,P15009968,"(35.75830822137247, -78.70381328467889)",SOUTWEST
40A,Motor Vehicle Theft,02/23/2015 03:11:00 PM,P15009919,"(35.84097146200003, -78.62006510399993)",NORTH
40A,Motor Vehicle Theft,02/23/2015 12:51:00 AM,P15009828,"(35.7589221808032, -78.70404033883158)",SOUTWEST
40A,Motor Vehicle Theft,02/21/2015 07:43:00 PM,P15009651,"(35.761834577761505, -78.64653656147092)",DOWNTOWN
40A,Motor Vehicle Theft,02/21/2015 09:29:00 AM,P15009565,"(35.85268960700006, -78.71942716199999)",NORTHWEST
40A,Motor Vehicle Theft,02/21/2015 08:48:00 AM,P15009537,"(35.89635171605789, -78.55190100334768)",NORTHEAST
40A,Motor Vehicle Theft,02/21/2015 08:06:00 AM,P15009533,"(35.78363142200004, -78.70414391799994)",SOUTWEST
40A,Motor Vehicle Theft,02/19/2015 05:23:00 PM,P15009262,"(35.74300582700005, -78.58973779599995)",SOUTHEAST
40A,Motor Vehicle Theft,02/19/2015 10:30:00 AM,P15009190,"(35.84632016978421, -78.57447314055894)",NORTHEAST
40A,Motor Vehicle Theft,02/16/2015 03:45:00 PM,P15008767,"(35.78875260580525, -78.6385855945595)",DOWNTOWN
40A,Motor Vehicle Theft,02/16/2015 03:42:00 PM,P15008763,"(35.865827477399094, -78.65472773104976)",NORTH
40A,Motor Vehicle Theft,02/16/2015 01:00:00 PM,P15008742,"(35.84778724346944, -78.59088591887199)",NORTH
40A,Motor Vehicle Theft,02/15/2015 11:30:00 AM,P15008600,"(35.773608449600104, -78.64044534703545)",DOWNTOWN
40A,Motor Vehicle Theft,02/15/2015 04:16:00 AM,P15008572,"(35.829120816544545, -78.58522235085125)",NORTH
40A,Motor Vehicle Theft,02/14/2015 08:06:00 AM,P15008418,"(35.86806735368855, -78.59136380472764)",NORTH
40A,Motor Vehicle Theft,02/14/2015 07:20:00 AM,P15008414,"(35.779411604366594, -78.6899843288541)",SOUTWEST
40A,Motor Vehicle Theft,02/13/2015 09:17:00 AM,P15008221,"(35.84129075174563, -78.59602977043721)",NORTH
40A,Motor Vehicle Theft,02/13/2015 08:18:00 AM,P15008207,"(35.8968418857655, -78.55086114753394)",NORTHEAST
40A,Motor Vehicle Theft,02/11/2015 05:31:00 AM,P15007821,"(35.84300090490865, -78.65161968453683)",NORTH
40A,Motor Vehicle Theft,02/10/2015 10:40:00 PM,P15007797,"(35.748208152286104, -78.60431971626532)",SOUTHEAST
40A,Motor Vehicle Theft,02/10/2015 06:53:00 PM,P15007755,"(35.82079010100006, -78.62831445499995)",NORTH
40A,Motor Vehicle Theft,02/10/2015 01:48:00 PM,P15007694,"(35.79130752770525, -78.60047303982132)",SOUTHEAST
40A,Motor Vehicle Theft,02/10/2015 12:29:00 PM,P15007687,"(35.79209008353717, -78.68189795644767)",SOUTWEST
40A,Motor Vehicle Theft,02/10/2015 06:56:00 AM,P15007625,"(35.84360098970913, -78.5890971822837)",NORTH
40A,Motor Vehicle Theft,02/09/2015 08:06:00 AM,P15007443,"(35.84949342051406, -78.5959139324575)",NORTH
40A,Motor Vehicle Theft,02/08/2015 01:21:00 PM,P15007327,"(35.76534831158613, -78.63077658338588)",SOUTHEAST
40A,Motor Vehicle Theft,02/08/2015 09:07:00 AM,P15007296,"(35.86494936074528, -78.60816649977271)",NORTH
40A,Motor Vehicle Theft,02/07/2015 12:49:00 PM,P15007131,"(35.77598141163491, -78.63670015503646)",DOWNTOWN
40A,Motor Vehicle Theft,02/06/2015 09:39:00 PM,P15007043,"(35.76718603705991, -78.62669083886016)",SOUTHEAST
40A,Motor Vehicle Theft,02/06/2015 05:27:00 PM,P15007003,"(35.78727746647137, -78.73909221002877)",SOUTWEST
40A,Motor Vehicle Theft,02/06/2015 07:45:00 AM,P15006871,"(35.762477045987175, -78.55613910334871)",SOUTHEAST
40A,Motor Vehicle Theft,02/06/2015 07:25:00 AM,P15006865,"(35.74187215400008, -78.60533724499999)",SOUTHEAST
40A,Motor Vehicle Theft,02/05/2015 08:18:00 PM,P15006819,"(35.72768355919242, -78.64948770129563)",DOWNTOWN
40A,Motor Vehicle Theft,02/05/2015 07:09:00 PM,P15006807,"(35.84254716528699, -78.61279035173526)",NORTH
40A,Motor Vehicle Theft,02/04/2015 01:01:00 PM,P15006533,"(35.813236961197354, -78.62670774992296)",NORTH
40A,Motor Vehicle Theft,02/04/2015 12:27:00 PM,P15006522,"(35.776306858748256, -78.63141376590309)",DOWNTOWN
40A,Motor Vehicle Theft,02/04/2015 08:46:00 AM,P15006477,"(35.8676960482043, -78.59049260837713)",NORTH
40A,Motor Vehicle Theft,02/03/2015 11:05:00 AM,P15006296,"(35.839331580125034, -78.64287485960521)",NORTH
40A,Motor Vehicle Theft,02/01/2015 10:54:00 PM,P15006052,"(35.86350236993887, -78.71110583200671)",NORTHWEST
40A,Motor Vehicle Theft,02/01/2015 08:39:00 PM,P15006036,"(35.877575437669115, -78.70250513471694)",NORTHWEST
40A,Motor Vehicle Theft,01/31/2015 05:47:00 AM,P15005731,"(35.767515539544185, -78.60498622616153)",SOUTHEAST
40A,Motor Vehicle Theft,01/30/2015 06:17:00 PM,P15005633,"(35.790032433597574, -78.60490299006011)",SOUTHEAST
40A,Motor Vehicle Theft,01/30/2015 10:06:00 AM,P15005540,"(35.835447459807995, -78.61591649465299)",NORTH
40A,Motor Vehicle Theft,01/28/2015 03:55:00 PM,P15005213,"(35.78906410373859, -78.65728324615478)",SOUTWEST
